No,Point A,Point B,Point C,Point D,Point E,Error Classification
23,"0.2830814602001,0.2744589196233","0.4,0.2","0.3109302327887,0.1988693940259","0.3507141936294,0.2505885431189","0.3467357975453,0.155107037101",E
24,"0.8400569119709,0.9030455009075","0.6610290881874,0.7319744692922","0.9076896454002,0.6086441906858","0.7286618216168,0.4495083473227","0.9355384179888,0.1511286410169",B
25,"0.8997328532321,0.517141080752","0.8758624767276,0.6325145671903","0.8758624767276,0.6325145671903","0.4461956996473,0.8274559753101","0.4103901348906,0.7160608849559",C
26,"0.3109302327887,0.9627214421687","0.4660876800677,0.8354127674782","0.2,0.6","0.482001264404,0.3977891982297","0.2472758954434,0.0914526997558",B
27,"0.2592110836956,0.9308942734961","0.1597511815937,0.7916504105534","0.2592110836956,0.6006873985177","0.330822213209,0.2306965626985","0.1637295776778,0.4415515551546",B
28,"0.8599488923913,0.6762769241151","0.8002729511302,0.2863941078756","0.378562966218,0.9030455009075","0.1836215580982,0.6484281515266","0.9076896454002,0.6524065476107",D
29,"0.2004291130942,0.2858987533979","0.0389090505107,0.0772449697423","0.4213566487295,0.1017924737018","0.3334790980245,0.1938456135499","0.7078285334065,0.2920356293878",A
30,"0.7127482372805,0.8950887087394","0.7644673863735,0.7797152223011","0.8400569119709,0.9110022930757","0.7803809707098,0.8433695596464","0.688877860776,0.823477579226",E
32,"0.4780228683199,0.7001473006196","0.2631894797797,0.1113446801762","0.947473606241,0.8990671048235","0.6,0.6","0.1319024090052,0.1511286410169",D
33,"0.5774827704218,0.6802553201992","0.8400569119709,0.2665021274552","0.4501740957314,0.568860229845","0.8,0.4","0.7127482372805,0.2744589196233",C
34,"0.3845353927903,0.279761877408","0.1616465703081,0.1805038218322","0.7711585801521,0.1927775738119","0.6587335254876,0.4443894893966","0.9410298210216,0.1927775738119",A
35,"0.5138284330766,0.5807954180973","0.6,0.6","0.5655475821696,0.6563849436947","0.6172667312626,0.7359528653763","0.4740444722358,0.6762769241151",E
36,"0.9554303984092,0.513162684668","0.072226467744,0.6285361711062","0.9355384179888,0.6006873985177","0.8281217237187,0.5609034376769","0.1120104285848,0.7399312614604",C
37,"0.6848994646919,0.2625237313711","0.2,0.8","0.2950166484523,0.7598232418807","0.8161865354665,0.1670422253532","0.3387790053772,0.8990671048235",C
38,"0.5456556017492,0.6325145671903","0.5933963547581,0.4972491003317","0.6,0.6","0.5615691860855,0.5489682494247","0.6212451273467,0.5449898533406",E
39,"0.9713439827455,0.7558448457967","0.5058716409084,0.1710206214373","0.9076896454002,0.8035855988056","0.8997328532321,0.6444497554425","0.4422173035632,0.2306965626985",C
40,"0.223405518939,0.9030455009075","0.1875999541823,0.5569250415928","0.9355384179888,0.0755391154195","0.9355384179888,0.0755391154195","0.7684457824575,0.6484281515266",D
41,"0.4780228683199,0.2665021274552","0.5735043743377,0.1670422253532","0.58543956259,0.2824157117915","0.5138284330766,0.206826186194","0.5615691860855,0.2267181666144",E
42,"0.6292019195148,0.8632615400668","0.2910382523683,0.1869342057736","0.4899580565721,0.8115423909738","0.2353407071912,0.2267181666144","0.5973747508422,0.7478880536285",C
44,"0.0921184481644,0.5887522102654","0.0881400520803,0.4574651394909","0.1438375972574,0.5370330611724","0.0881400520803,0.5250978729202","0.0523344873236,0.5967090024336",E
45,"0.8519921002232,0.8553047478986","0.2353407071912,0.2346749587826","0.7883377628779,0.7359528653763","0.2631894797797,0.3142428804641","0.8599488923913,0.6762769241151",C
46,"0.330822213209,0.7598232418807","0.8519921002232,0.0954310958399","0.1995351424345,0.3580052373889","0.6689858803556,0.978635026505","0.5058716409084,0.1471502449329",D
47,"0.4899580565721,0.7836936183852","0.9793007749136,0.2346749587826","0.8082297432983,0.9189590852438","0.227383915023,0.5330546650883","0.6172667312626,0.2903725039596",D
48,"0.275124668032,0.7359528653763","0.0563128834077,0.0994094919239","0.6729642764397,0.2426317509507","0.9434952101569,0.7359528653763","0.9156464375684,0.9030455009075",D
49,"0.2353407071912,0.9070238969916","0.123945616837,0.2863941078756","0.6769426725238,0.103387888008","0.8838192688958,0.5410114572565","0.6689858803556,0.9030455009075",D
50,"0.7525321981212,0.5569250415928","0.7843593667938,0.5250978729202","0.8,0.6","0.7047914451123,0.517141080752","0.7604889902894,0.4733787238272",E
